bairro,numero_quartos,numero_banheiros,vagas_carro,area_gourmet,mobiliado,varanda,imobiliaria,tipo,preco,Link
Bonfim,3,2,1,S,N,S,S,Apartamento,2500,https://www.longattiimoveis.com.br/21108
Jardim das Acacias,3,3,2,S,N,S,S,Casa,3800,https://www.longattiimoveis.com.br/21096
Colonia do Marcal,3,3,1,S,N,S,S,Casa,2200,https://www.longattiimoveis.com.br/21090
Centro,6,3,1,S,N,S,S,Casa,5000,https://www.longattiimoveis.com.br/21089
 Colis Del Rey,5,5,3,S,N,S,S,Casa,7500,https://www.longattiimoveis.com.br/21086
,2,1,1,S,S,N,S,Casa,1200,https://www.longattiimoveis.com.br/21084
Cidade Verde,3,3,2,N,N,S,S,Casa,3000,https://www.longattiimoveis.com.br/21067
Colonia do Marcal,1,2,,N,N,S,S,Ponto comercial,12000,https://www.longattiimoveis.com.br/21063
Centro,1,1,0,N,N,N,S,Ponto comercial,1500,https://www.longattiimoveis.com.br/21062
Colonia do Marcal,2,2,1,S,N,S,S,Apartamento,1415,https://www.longattiimoveis.com.br/21061
Colonia do Marcal,2,1,1,S,N,S,S,Apartamento,1200,https://www.longattiimoveis.com.br/21060
Fabricas,3,4,1,S,S,S,S,Apartamento,3200,https://www.longattiimoveis.com.br/21057
Guarda Mor,1,1,0,N,N,N,S,Kitnet,850,https://www.longattiimoveis.com.br/21041
Matosinhos,0,1,,N,N,N,S,Galpão,1700,https://www.longattiimoveis.com.br/21038
Bonfim,3,1,,S,N,N,S,Apartamento,1800,https://www.longattiimoveis.com.br/21029
Tejuco,1,2,,N,N,N,S,Galpão,2500,https://www.longattiimoveis.com.br/21004
Centro,2,1,0,S,N,N,S,Casa,2200,https://www.longattiimoveis.com.br/21000
Centro,7,3,2,S,N,S,S,Casa,6000,https://www.longattiimoveis.com.br/20963
Bonfim,1,1,0,N,N,N,S,Kitnet,950,https://www.longattiimoveis.com.br/20946
Centro,0,1,,N,N,N,S,Galpão,6000,https://www.longattiimoveis.com.br/20935
Colis Del Rey,4,3,2,S,N,N,S,Casa,4500,https://www.longattiimoveis.com.br/20906
Pio XII,3,2,,N,N,N,S,Apartamento,2700,https://www.longattiimoveis.com.br/20899
Tejuco,0,1,0,N,N,N,S,Ponto comercial,3300,https://www.longattiimoveis.com.br/20884
Fabricas,1,0,0,S,N,S,S,Kitnet,850,https://www.longattiimoveis.com.br/20881
Centro,0,1,0,N,N,N,S,Ponto comercial,1400,https://www.longattiimoveis.com.br/20876
Centro,0,1,0,N,N,N,S,Ponto comercial,1200,https://www.longattiimoveis.com.br/20874
Bonfim,1,1,0,S,N,N,S,Ponto comercial,2000,https://www.longattiimoveis.com.br/20866
Centro,3,1,0,N,S,N,S,Ponto comercial,3000,https://www.longattiimoveis.com.br/20852
Matosinhos,3,2,4,S,N,S,S,Casa,6000,https://www.longattiimoveis.com.br/20848
Fabricas,1,1,0,N,N,N,S,Kitnet,820,https://www.longattiimoveis.com.br/20801
Colonia do Marcal,1,1,0,N,N,N,S,Ponto comercial,6000,https://www.longattiimoveis.com.br/20783
Vila Belizario,1,1,0,N,N,N,S,Ponto comercial,3300,https://www.longattiimoveis.com.br/20776
Centro,2,1,0,N,N,N,S,Ponto comercial,1100,https://www.longattiimoveis.com.br/20708
Jardim das Acacias,3,2,2,S,N,S,S,Casa,3000,https://www.longattiimoveis.com.br/20697
Centro,2,2,1,S,N,N,S,Casa,1700,https://www.longattiimoveis.com.br/20632
Fabricas,2,1,0,N,N,N,S,Apartamento,1650,https://www.longattiimoveis.com.br/20589
Centro,4,2,1,S,S,N,S,Casa,4000,https://www.longattiimoveis.com.br/20119
Centro,3,1,0,S,S,S,S,Casa,4200,https://www.longattiimoveis.com.br/20014
