bairro,numero_quartos,numero_banheiros,vagas_carro,area_gourmet,mobiliado,varanda,imobiliaria,tipo,preco,Link
Fabricas,1,1,0,S,S,N,N,Apartamento,1200,https://www.facebook.com/marketplace/item/1353513502658455?ref=browse_tab&referral_code=marketplace_general&referral_story_type=general&tracking=%7B%22qid%22%3A%22-8770447183072536832%22%2C%22mf_story_key%22%3A%221900544564221588467%22%2C%22top_level_post_id%22%3A%221900544564221588467%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A1900544564221588467%2C%5C%22target_type%5C%22%3A6%2C%5C%22primary_position%5C%22%3A5%2C%5C%22ranking_sigture%5C%22%3A7505938510086785441%2C%5C%22commerce_channel%5C%22%3A501%2C%5C%22value%5C%22%3A0.0012384328486708%2C%5C%22upsell_type%5C%22%3A123%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2229912963028302112%5C%22%3A701%2C%5C%2223966284186337801%5C%22%3A3013%2C%5C%2228862854456694242%5C%22%3A701%2C%5C%2210055570137845047%5C%22%3A3013%2C%5C%2224083117601350435%5C%22%3A3013%2C%5C%2231129419199990177%5C%22%3A3011%7D%2C%5C%22grouping_info%5C%22%3Anull%7D%22%2C%22lightning_feed_qid%22%3A%22-8770452130830123934%22%2C%22lightning_feed_ranking_sigture%22%3A%222684033551359758532%22%7D
Colonia do Marcal,1,1,0,N,N,N,N,Casa,700,https://www.facebook.com/marketplace/item/4199764760257788?ref=browse_tab&referral_code=marketplace_general&referral_story_type=general&tracking=%7B%22qid%22%3A%22-8770411586528242096%22%2C%22mf_story_key%22%3A%222743870564016825952%22%2C%22top_level_post_id%22%3A%222743870564016825952%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A2743870564016825952%2C%5C%22target_type%5C%22%3A6%2C%5C%22primary_position%5C%22%3A12%2C%5C%22ranking_sigture%5C%22%3A7505938510086785441%2C%5C%22commerce_channel%5C%22%3A501%2C%5C%22value%5C%22%3A0.00038696998650576%2C%5C%22upsell_type%5C%22%3A122%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%229620494304743844%5C%22%3A701%2C%5C%229408250032593079%5C%22%3A701%2C%5C%229951414278238858%5C%22%3A3016%2C%5C%223820989007923678%5C%22%3A3016%2C%5C%2230126189820329712%5C%22%3A805%7D%2C%5C%22grouping_info%5C%22%3Anull%7D%22%2C%22lightning_feed_qid%22%3A%22-8770452130830123934%22%2C%22lightning_feed_ranking_sigture%22%3A%222684033551359758532%22%7D
Dom Bosco,1,1,0,N,N,N,S,Kitnet,700,https://mg.mgfimoveis.com.br/alugo-kitnet-em-sao-joao-del-rei-venda-mg-alugokitinet-mobiliada-do-lado-do-305316160
Dom Bosco,1,1,0,N,N,N,S,Kitnet,900,https://www.mgfimoveis.com.br/aluguel/kitnet/mg-sao-joao-del-rei
Dom Bosco,1,1,0,N,N,N,S,Kitnet,750,https://www.mgfimoveis.com.br/aluguel/kitnet/mg-sao-joao-del-rei
Dom Bosco,1,1,0,N,N,N,S,Kitnet,650,https://www.mgfimoveis.com.br/aluguel/kitnet/mg-sao-joao-del-rei
Parque Real,1,1,0,N,N,N,S,Kitnet,800,https://www.mgfimoveis.com.br/aluguel/kitnet/mg-sao-joao-del-rei
Fabricas,1,1,0,N,N,N,N,Kitnet,800,https://www.vivareal.com.br/aluguel/mis-gerais/sao-joao-del-rei/kitnet_residencial/
Fabricas,1,1,0,N,N,N,N,Kitnet,1200,https://www.vivareal.com.br/aluguel/mis-gerais/sao-joao-del-rei/kitnet_residencial/
Fabricas,1,1,0,N,N,N,N,Kitnet,1400,https://www.vivareal.com.br/aluguel/mis-gerais/sao-joao-del-rei/kitnet_residencial/
Bonfim,1,1,0,N,N,N,N,Kitnet,1250,https://www.vivareal.com.br/aluguel/mis-gerais/sao-joao-del-rei/kitnet_residencial/
Colonia do Marcal,2,1,0,N,N,N,N,Apartamento,1400,https://www.casamineira.com.br/aluguel/apartamento/sao-joao-del-rei_mg/1-quarto
